run_name,num_loc,algorithm,train_seed,epoch,val_cost,val_reward
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,11,6.368443965911865,-6.368443965911865
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,12,6.350554466247559,-6.350554466247559
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,13,6.337441444396973,-6.337441444396973
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,14,6.325648307800293,-6.325648307800293
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,15,6.3122124671936035,-6.3122124671936035
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,16,6.308761119842529,-6.308761119842529
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,17,6.304681777954102,-6.304681777954102
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,18,6.285131931304932,-6.285131931304932
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,19,6.278862476348877,-6.278862476348877
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,20,6.264563083648682,-6.264563083648682
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,21,6.260016441345215,-6.260016441345215
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,22,6.25248384475708,-6.25248384475708
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,23,6.244357585906982,-6.244357585906982
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,24,6.245845794677734,-6.245845794677734
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,25,6.23954439163208,-6.23954439163208
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,26,6.2364630699157715,-6.2364630699157715
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,27,6.224447250366211,-6.224447250366211
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,28,6.220091819763184,-6.220091819763184
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,29,6.219499588012695,-6.219499588012695
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,30,6.216826438903809,-6.216826438903809
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,31,6.208529472351074,-6.208529472351074
tsp50_leader_alpha0p5_n64_seed0,50,leader_reward,0,32,6.212125778198242,-6.212125778198242
