run_name,num_loc,algorithm,train_seed,epoch,val_cost,val_reward
tsp50_maxk_k8_subloo_n16_seed1,50,maxk_pomo,1,6,8.053865432739258,-8.053865432739258
tsp50_maxk_k8_subloo_n16_seed1,50,maxk_pomo,1,7,8.115681648254395,-8.115681648254395
tsp50_maxk_k8_subloo_n16_seed1,50,maxk_pomo,1,8,8.057511329650879,-8.057511329650879
tsp50_maxk_k8_subloo_n16_seed1,50,maxk_pomo,1,9,8.00681209564209,-8.00681209564209
tsp50_pomo_n16_seed2,50,pomo,2,0,6.901611328125,-6.901611328125
tsp50_pomo_n16_seed2,50,pomo,2,1,6.747758388519287,-6.747758388519287
tsp50_pomo_n16_seed2,50,pomo,2,2,6.659682750701904,-6.659682750701904
tsp50_pomo_n16_seed2,50,pomo,2,3,6.6248860359191895,-6.6248860359191895
tsp50_pomo_n16_seed2,50,pomo,2,4,6.55058479309082,-6.55058479309082
tsp50_pomo_n16_seed2,50,pomo,2,5,6.508906841278076,-6.508906841278076
tsp50_pomo_n16_seed2,50,pomo,2,6,6.479086875915527,-6.479086875915527
tsp50_pomo_n16_seed2,50,pomo,2,7,6.425948143005371,-6.425948143005371
tsp50_pomo_n16_seed2,50,pomo,2,8,6.389304161071777,-6.389304161071777
tsp50_pomo_n16_seed2,50,pomo,2,9,6.361174583435059,-6.361174583435059
tsp50_leader_alpha0p5_n16_seed2,50,leader_reward,2,0,7.065250396728516,-7.065250396728516
tsp50_leader_alpha0p5_n16_seed2,50,leader_reward,2,1,6.901919841766357,-6.901919841766357
tsp50_leader_alpha0p5_n16_seed2,50,leader_reward,2,2,6.812512397766113,-6.812512397766113
tsp50_leader_alpha0p5_n16_seed2,50,leader_reward,2,3,6.756358623504639,-6.756358623504639
tsp50_leader_alpha0p5_n16_seed2,50,leader_reward,2,4,6.70643424987793,-6.70643424987793
tsp50_leader_alpha0p5_n16_seed2,50,leader_reward,2,5,6.674668788909912,-6.674668788909912
tsp50_leader_alpha0p5_n16_seed2,50,leader_reward,2,6,6.6322174072265625,-6.6322174072265625
tsp50_leader_alpha0p5_n16_seed2,50,leader_reward,2,7,6.587989807128906,-6.587989807128906
tsp50_leader_alpha0p5_n16_seed2,50,leader_reward,2,8,6.565722942352295,-6.565722942352295
tsp50_leader_alpha0p5_n16_seed2,50,leader_reward,2,9,6.5434699058532715,-6.5434699058532715
tsp50_maxk_k8_subloo_n16_seed2,50,maxk_pomo,2,0,7.609681129455566,-7.609681129455566
tsp50_maxk_k8_subloo_n16_seed2,50,maxk_pomo,2,1,7.62442684173584,-7.62442684173584
tsp50_maxk_k8_subloo_n16_seed2,50,maxk_pomo,2,2,7.545543193817139,-7.545543193817139
tsp50_maxk_k8_subloo_n16_seed2,50,maxk_pomo,2,3,7.629537582397461,-7.629537582397461
tsp50_maxk_k8_subloo_n16_seed2,50,maxk_pomo,2,4,7.649620056152344,-7.649620056152344
tsp50_maxk_k8_subloo_n16_seed2,50,maxk_pomo,2,5,7.8054022789001465,-7.8054022789001465
tsp50_maxk_k8_subloo_n16_seed2,50,maxk_pomo,2,6,7.64132833480835,-7.64132833480835
tsp50_maxk_k8_subloo_n16_seed2,50,maxk_pomo,2,7,7.546877861022949,-7.546877861022949
tsp50_maxk_k8_subloo_n16_seed2,50,maxk_pomo,2,8,7.734598636627197,-7.734598636627197
tsp50_maxk_k8_subloo_n16_seed2,50,maxk_pomo,2,9,7.673381328582764,-7.673381328582764
